;id_l;id_r;regular_jaccard;exec_time_regular;bc_jaccard;calc_bcjaccard;exec_time_bc;estimated_gas
6626;41585;18338;0.4583333333333333;0.0;45;0.4583333333333333;0.19779348373413086;2075994
6627;41585;28441;0.6363636363636364;0.0;63;0.6363636363636364;0.19406557083129883;2102281
6628;41585;32375;0.4797687861271676;0.0;47;0.4797687861271676;0.19889259338378906;2075665
6629;41592;2597;0.5303030303030303;0.0;53;0.5303030303030303;0.20304012298583984;2081394
6630;41592;21529;0.5825545171339563;0.0;58;0.5825545171339563;0.2247905731201172;2090007
6631;41592;26834;0.4936061381074169;0.0;49;0.4936061381074169;0.1961836814880371;2100199
6632;41594;24221;0.8716814159292036;0.0;87;0.8716814159292036;0.2406177520751953;2090272
6633;41602;19956;0.4295774647887324;0.0;42;0.4295774647887324;0.20169758796691895;2036579
6634;41603;4635;0.39570552147239263;0.0;39;0.39570552147239263;0.21575260162353516;2045336
6635;41603;12398;0.5919732441471572;0.0;59;0.5919732441471572;0.22003912925720215;2080499
6636;41603;14271;0.6125461254612546;0.0;61;0.6125461254612546;0.20833039283752441;2069740
6637;41603;26126;0.46932515337423314;0.0;46;0.46932515337423314;0.21061253547668457;2063984
6638;41603;29928;0.4982698961937716;0.0;49;0.4982698961937716;0.20511245727539062;2054068
6639;41603;33896;0.4967532467532468;0.0;49;0.4967532467532468;0.19483661651611328;2062562
6640;41603;34857;0.6028880866425993;0.0;60;0.6028880866425993;0.20191144943237305;2070991
6641;41606;1765;0.4377358490566038;0.0;43;0.4377358490566038;0.19599127769470215;2030416
6642;41606;27577;0.4423076923076923;0.0;44;0.4423076923076923;0.20201420783996582;2029244
6643;41692;27638;0.6360544217687075;0.0;63;0.6360544217687075;0.21230602264404297;2087874
6644;41692;29450;0.6360544217687075;0.0;63;0.6360544217687075;0.19244813919067383;2087874
6645;41692;30454;0.5907590759075908;0.0;59;0.5907590759075908;0.31613588333129883;2082369
6646;41693;9253;0.5907590759075908;0.0;59;0.5907590759075908;0.21071839332580566;2082369
6647;41693;18015;0.6360544217687075;0.0;63;0.6360544217687075;0.20598077774047852;2087874
6648;41693;19484;0.5907590759075908;0.0;59;0.5907590759075908;0.20005011558532715;2082369
6649;41694;6578;0.5204081632653061;0.0;52;0.5204081632653061;0.22804594039916992;2061456
6650;41694;6623;0.42207792207792205;0.0;42;0.42207792207792205;0.20651960372924805;2044691
6651;41694;9817;0.5789473684210527;0.0;57;0.5789473684210527;0.21122431755065918;2080117
6652;41694;14521;0.45141065830721006;0.0;45;0.45141065830721006;0.29477953910827637;2056438
6653;41694;15584;0.536741214057508;0.0;53;0.536741214057508;0.20078825950622559;2074612
